id,count
0,93.86594
1,246.3505
2,47.187325
4,97.70549
5,84.841896
10,133.33951
11,145.191
12,222.15932
15,64.3621
17,22.842386
18,247.33722
23,244.04938
25,186.95065
26,78.955315
31,212.03601
39,200.96411
40,60.722748
41,165.0286
42,
43,194.5644
51,238.23375
52,75.55095
54,88.76135
60,170.80475
61,205.93538
62,159.37949
63,61.2615
65,140.2937
66,120.28604
68,198.72287
71,62.353203
80,88.74253
82,
94,201.68124
98,229.16371
101,58.08143
102,177.04904
107,128.64125
112,235.97643
113,48.444416
115,
116,174.20128
120,88.10021
121,57.86621
122,246.63997
132,182.82486
143,68.00588
147,
150,60.060722
151,67.62517
152,227.88644
153,86.42971
155,59.66441
156,133.45695
159,220.2749
161,85.05601
163,78.287285
177,185.94382
186,91.43456
188,72.6325
190,84.91723
191,97.15678
192,193.79753
195,229.31197
200,195.75436
209,229.93494
210,49.641304
211,248.27774
214,187.1301
215,85.2257
218,165.72623
219,43.205826
222,95.34684
225,69.04952
228,257.53827
236,236.01933
241,79.31485
242,194.65656
243,258.16675
245,75.99549
247,241.14102
251,210.26503
252,84.38677
253,55.887035
254,83.81257
258,234.8756
260,
261,197.26706
265,69.830315
266,223.4784
267,217.14093
269,179.53415
270,
275,162.39813
278,82.193
279,57.08967
286,102.62879
287,68.33795
288,228.58823
289,193.91364
293,82.338844
294,198.07198
297,
302,91.60761
303,53.11849
304,97.38079
307,134.45284
309,68.214806
311,223.5537
312,151.81241
314,220.93027
315,246.3349
319,211.69379
322,167.82837
323,
325,205.55476
327,227.57137
330,70.38976
332,227.4591
333,78.7787
338,158.13179
341,61.884212
345,179.11621
348,165.8584
349,89.19122
350,116.975105
352,
355,62.330482
356,
358,
363,190.49939
369,209.152
371,60.782173
372,212.22243
375,243.18279
380,204.41257
388,79.91474
391,
392,194.32953
393,238.05463
394,99.591255
396,69.14988
401,73.13843
407,63.199425
409,75.286736
410,142.34401
416,122.95214
418,118.24463
420,212.96567
421,226.03825
422,214.8271
424,255.63983
428,211.9397
429,228.16646
431,180.92984
435,12.004186
439,102.16284
441,36.43909
447,78.97486
449,212.34158
451,219.41985
452,84.491684
454,192.51862
458,223.61514
463,187.71843
467,55.80975
470,160.65697
471,160.55988
474,226.96024
478,88.45944
483,112.39408
484,179.99692
485,79.08624
486,181.02472
491,124.86968
494,87.29324
495,210.4368
497,195.52386
499,229.33942
515,148.11798
518,201.00484
521,96.41372
525,
529,215.95172
532,178.72525
534,74.89274
540,74.412056
544,258.53336
547,205.89017
549,83.2362
563,59.86746
564,218.72867
567,118.13592
572,177.82997
577,196.0033
578,254.68001
585,226.72362
588,218.62088
589,192.46738
590,132.15881
592,81.161415
594,159.80038
596,79.88934
598,227.16801
599,200.4204
605,90.2797
606,171.79901
607,208.21631
608,218.71826
609,
610,216.88403
611,106.567986
614,
615,188.0201
616,206.71939
617,166.70259
618,204.60944
624,127.0104
629,193.42728
631,89.6068
633,93.0095
637,84.21557
638,163.54936
643,
644,188.36224
645,72.80771
646,188.69
648,176.15408
650,82.131584
651,110.56759
652,243.4739
656,171.61955
657,90.15919
659,60.24757
660,187.95538
662,151.57729
665,229.5546
675,
681,171.30249
682,194.48415
685,70.367096
686,227.71175
689,78.25806
696,166.96335
703,197.91153
704,132.7692
705,170.3724
714,203.69933
717,82.66577
718,92.72039
720,81.6089
721,238.74002
723,220.86691
726,90.86341
728,203.5368
730,105.06219
731,85.09312
734,263.34244
737,69.17903
738,79.09185
745,222.70723
746,87.93232
749,196.91481
752,80.28387
753,68.94665
758,206.87859
765,83.332634
766,220.63007
768,72.15397
769,229.26965
774,190.24994
775,116.13895
781,
784,224.57169
794,98.32308
795,242.46353
796,76.484726
802,146.89613
803,100.63417
805,74.60146
806,229.23505
807,141.22086
809,69.2296
810,222.10095
812,105.51185
814,124.18554
818,207.1002
819,233.2868
825,14.270091
836,53.53797
839,178.22769
847,239.84213
848,96.48383
851,199.20654
852,186.87415
853,57.44715
857,204.20172
858,88.8303
859,206.19878
861,11.054593
867,163.86708
870,194.97043
871,224.92834
872,252.03801
874,260.61374
881,246.52411
886,182.55527
890,
895,194.0238
899,73.11433
900,221.60402
901,233.72092
902,229.73529
903,85.8697
913,251.00296
918,243.35776
923,175.35846
924,77.43844
926,68.63293
927,80.83863
930,196.23798
934,65.63886
937,190.82877
939,152.29861
941,92.01535
942,249.98138
946,217.28973
950,144.33076
953,69.627205
959,35.89182
961,62.971436
962,96.38949
964,120.9835
969,175.35461
971,166.17067
976,75.28813
978,218.27896
980,224.62286
981,191.74881
990,236.66406
993,74.98137
996,81.87197
998,237.10602
999,213.26767
1006,169.84366
1008,61.385918
1013,83.51176
1015,139.60185
1016,187.41931
1022,227.21716
1026,204.48294
1028,235.72743
1031,52.76156
1034,
1037,228.4963
1040,
1042,81.18406
1046,99.77502
1048,124.611206
1049,161.8999
1050,
1051,219.44133
1052,223.39754
1055,101.79981
1060,179.36612
1064,95.8547
1066,59.929108
1071,182.7728
1073,81.79445
1089,212.63628
1091,135.84073
1092,72.43406
1093,227.43211
1096,223.06259
1097,197.14236
1098,69.39568
1099,63.08258
1102,230.39632
1107,102.62925
1109,89.732765
1111,52.37722
1112,147.97083
1114,265.8661
1116,217.75067
1117,189.63324
1118,76.26844
1122,
1124,205.54227
1127,115.66741
1133,223.04881
1134,79.44577
1135,176.42622
1139,225.81151
1143,
1150,101.462746
1151,134.86539
1153,233.8537
1155,75.89295
1162,72.702286
1163,192.78033
1166,20.408657
1171,74.889656
1172,61.934578
1173,239.68661
1174,97.45907
1177,113.692314
1178,139.08772
1184,80.34225
1185,142.97034
1186,103.68652
1187,219.45349
1188,247.85968
1191,196.43948
1207,132.46045
1213,87.20711
1215,192.1369
1223,221.65509
1227,152.89417
1236,
1237,
1238,96.1034
1241,52.749954
1248,81.82963
1250,59.812782
1251,213.70493
1253,121.73417
1255,148.29723
1257,224.6366
1261,124.94111
1262,228.44016
1265,179.48709
1273,239.58818
1277,207.34628
1278,151.05908
1280,78.416115
1284,183.64987
1285,242.56755
1288,92.532265
1295,137.53442
1297,249.18802
1299,242.742
1304,194.19403
1308,76.16344
1310,142.37701
1311,162.65784
1314,88.87403
1315,150.56915
1318,38.580208
1320,255.01604
1321,219.223
1322,201.20526
1330,177.70221
1333,222.10835
1334,184.41087
1341,197.0561
1344,156.6549
1351,208.20422
1354,104.67055
1356,
1363,159.29306
1365,211.44635
1369,172.90344
1373,108.343895
1375,151.81049
1377,62.244587
1379,210.51361
1380,225.73575
1381,118.73254
1384,185.65195
1390,214.37555
1393,229.68471
1395,
1399,222.73502
1400,81.38099
1401,106.86179
1404,221.00569
1408,85.01816
1409,32.424072
1413,190.12619
1416,211.94955
1418,135.56363
1423,92.25616
1424,66.57718
1425,51.971836
1433,251.68059
1434,184.69418
1436,234.05441
1442,212.4773
1444,68.97375
1445,184.04637
1452,211.82346
1455,219.75609
1462,
1467,20.110996
1472,85.00968
1475,104.043465
1493,171.3034
1501,200.45335
1503,227.9638
1504,232.90363
1505,65.70443
1511,241.13678
1512,
1513,170.96227
1514,96.088234
1528,221.2942
1533,251.67279
1534,68.79136
1536,197.07986
1537,74.408806
1539,162.8992
1550,179.86737
1552,193.87196
1554,219.909
1555,238.55809
1556,43.9917
1559,63.205437
1563,221.43185
1566,214.57306
1567,151.14334
1568,82.94091
1571,204.3049
1572,71.61976
1574,
1577,86.49991
1583,57.068977
1585,87.04044
1586,203.57007
1587,224.01532
1596,195.58502
1602,49.53662
1604,71.381096
1605,56.526237
1610,241.98314
1611,132.61798
1616,71.38009
1617,165.02087
1618,63.65902
1622,66.00101
1623,62.08236
1628,239.2469
1631,52.070206
1632,230.95874
1633,205.76819
1634,222.69147
1636,223.37595
1637,169.49316
1643,92.66677
1644,158.25871
1646,104.11982
1648,217.83153
1651,90.2105
1656,69.48804
1658,155.00496
1659,71.8808
1665,75.796974
1666,153.14732
1670,100.55744
1674,162.86916
1679,234.6243
1680,228.76271
1683,257.8718
1686,59.591484
1691,156.1694
1693,68.56028
1696,98.933334
1697,139.90463
1703,95.14459
1706,61.400124
1709,204.06071
1710,82.56269
1712,
1713,179.93115
1718,235.02196
1719,221.10269
1722,234.62872
1723,175.73145
1724,236.99203
1728,37.27103
1730,91.398155
1732,71.38318
1737,59.79891
1745,64.42237
1747,92.86325
1748,88.509094
1755,120.45781
1759,85.59203
1761,216.41818
1764,190.19899
1765,202.57104
1766,65.58233
1768,68.76202
1770,77.39791
1771,193.39801
1774,116.06759
1785,182.9965
1788,235.59872
1792,89.78913
1794,197.53987
1797,161.0747
1798,47.44677
1799,259.7098
1802,147.74759
1806,75.92272
1808,87.997826
1810,231.30316
1818,42.73204
1819,245.23294
1820,257.39465
1822,205.74263
1826,226.57597
1827,176.17218
1835,87.83208
1841,129.86703
1842,129.98633
1843,95.86442
1846,64.51452
1849,44.150455
1850,243.21872
1851,116.04973
1857,
1858,189.9599
1860,126.48643
1861,206.51996
1864,95.688446
1869,224.8659
1871,
1872,95.58635
1875,70.97247
1878,251.53781
1879,226.66498
1885,59.518066
1888,103.69553
1889,57.067486
1890,143.0646
1896,151.39491
1897,235.89484
1898,
1900,88.57136
1905,83.705894
1908,101.994316
1909,157.3699
1913,
1918,116.688835
1922,264.77768
1923,182.6924
1925,217.81421
1926,153.45348
1927,232.33871
1930,203.63399
1935,60.871433
1939,105.38805
1942,129.46973
1943,
1948,247.79407
1949,217.66089
1951,146.37054
1953,140.01132
1959,
1963,78.301384
1967,150.60605
1973,207.78241
1975,99.75497
1976,46.3929
1990,139.94238
1993,126.32844
1997,87.221634
1999,181.27563
2001,201.1525
2004,71.36408
2010,141.60707
2013,173.4099
2017,245.93549
2021,83.52324
2023,67.21809
2026,216.15083
2037,52.017498
2039,89.86208
2041,63.894295
2046,71.30076
2050,99.47094
2060,207.69023
2067,142.76183
2069,193.58492
2072,220.67679
2074,203.49597
2079,163.65952
2083,59.300552
2085,105.96145
2087,58.60899
2093,186.53506
2094,78.87516
2097,81.95783
2103,96.37053
2104,
2107,232.68948
2108,35.636494
2110,29.749105
2115,222.8313
2117,76.58518
2125,230.57257
2127,259.40833
2133,65.78598
2134,262.88116
2135,144.75337
2141,231.44505
2143,76.02863
2145,63.229523
2146,93.27897
2147,205.78146
2148,
2149,
2165,126.733215
2166,189.0603
2177,108.36529
