id,count
0,97.68853
1,262.5372
2,16.13687
4,60.652138
5,61.96311
10,120.5104
11,138.32864
12,274.683
15,33.013485
17,34.415295
18,247.31473
23,228.78261
25,190.53458
26,33.652687
31,182.17177
39,241.45126
40,31.66972
41,86.00369
42,
43,177.76927
51,255.77176
52,75.30511
54,29.725296
60,142.69135
61,197.8424
62,139.83467
63,34.349663
65,122.7452
66,115.11783
68,234.09094
71,45.775043
80,30.165432
82,
94,178.59354
98,224.49728
101,51.55776
102,157.97395
107,63.17705
112,320.62946
113,92.84174
115,
116,162.74786
120,113.419785
121,105.01548
122,264.49673
132,183.4063
143,43.325447
147,
150,25.899826
151,49.158398
152,246.01166
153,45.990696
155,93.25686
156,69.015686
159,218.05493
161,104.65005
163,32.831
177,180.09258
186,39.169044
188,25.510323
190,68.06424
191,102.6342
192,210.24153
195,251.90588
200,202.8793
209,239.7998
210,24.791191
211,297.68024
214,169.48552
215,29.23418
218,153.17213
219,37.634987
222,103.421555
225,23.964264
228,259.31955
236,237.7823
241,41.808586
242,200.18456
243,254.14076
245,27.761616
247,221.11029
251,212.81541
252,89.86752
253,49.071747
254,96.69769
258,228.77097
260,
261,212.22456
265,49.994537
266,210.63464
267,235.14452
269,171.30795
270,
275,141.61786
278,35.197365
279,47.80861
286,90.36589
287,25.234493
288,193.59572
289,192.20107
293,30.039585
294,224.87753
297,
302,117.21927
303,85.03622
304,65.81018
307,125.02954
309,24.204945
311,243.58281
312,73.90013
314,232.00285
315,250.31638
319,205.1898
322,145.18684
323,
325,205.13976
327,216.82841
330,37.549248
332,222.6388
333,26.878334
338,136.26295
341,98.39765
345,81.66466
348,168.53549
349,31.997139
350,113.96871
352,
355,26.514587
356,
358,
363,179.55383
369,216.8638
371,29.136066
372,222.266
375,240.91768
380,200.87477
388,31.252731
391,
392,219.1973
393,257.1691
394,98.95694
396,32.44906
401,29.202461
407,55.448032
409,45.49065
410,124.909515
416,118.36189
418,118.32177
420,202.54
421,286.64728
422,209.51714
424,251.6518
428,236.25952
429,272.02765
431,181.74039
435,54.304276
439,107.880356
441,51.70432
447,47.374916
449,231.47218
451,244.22824
452,26.727364
454,223.37411
458,288.81415
463,170.20418
467,26.358627
470,95.45457
471,149.72256
474,236.52655
478,30.352154
483,113.92157
484,188.59152
485,47.02648
486,164.24657
491,124.70507
494,111.48054
495,204.73596
497,181.26472
499,249.23212
515,133.41312
518,196.65414
521,107.64731
525,
529,227.66447
532,149.98679
534,51.51456
540,45.084896
544,246.87029
547,190.52267
549,31.281822
563,38.071144
564,225.21172
567,116.950554
572,164.90707
577,217.54999
578,257.53427
585,240.80365
588,233.00677
589,182.05727
590,122.00148
592,32.118313
594,97.14217
596,28.03011
598,258.22885
599,183.58179
605,48.178707
606,151.07503
607,217.21762
608,213.84247
609,
610,216.28952
611,116.66921
614,
615,184.14877
616,223.12927
617,165.92801
618,225.08258
624,119.35785
629,183.48236
631,45.517326
633,105.84972
637,29.842663
638,136.08435
643,
644,178.58188
645,37.400284
646,205.83287
648,171.18001
650,36.110554
651,112.61582
652,235.24405
656,163.07568
657,34.339542
659,84.299255
660,204.6704
662,127.65556
665,259.8687
675,
681,157.91771
682,178.70898
685,27.207714
686,229.94315
689,29.390259
696,146.16728
703,188.10294
704,126.00715
705,162.20924
714,199.66653
717,96.05415
718,28.52224
720,78.73856
721,285.70755
723,196.16338
726,110.16152
728,195.69989
730,111.748665
731,28.075752
734,251.57481
737,49.05457
738,26.359222
745,248.27742
746,26.46214
749,213.16284
752,28.455238
753,103.15383
758,191.73766
765,50.542877
766,261.91107
768,47.81493
769,212.39124
774,194.56432
775,113.30024
781,
784,243.26216
794,30.733295
795,233.9907
796,47.672398
802,74.42379
803,108.60209
805,35.11644
806,222.89764
807,126.138504
809,23.949146
810,219.87357
812,107.44063
814,114.35571
818,221.95815
819,248.19446
825,71.18503
836,109.41539
839,172.52672
847,229.75171
848,109.9525
851,207.97263
852,163.9107
853,47.724304
857,191.89116
858,33.01253
859,193.87938
861,62.689274
867,166.44997
870,216.1292
871,202.08537
872,280.99606
874,287.76935
881,241.92322
886,163.695
890,
895,190.94151
899,49.212345
900,229.60721
901,219.66069
902,235.38185
903,41.419876
913,234.71634
918,235.22089
923,167.57632
924,37.969135
926,34.31025
927,28.285698
930,186.92953
934,36.506355
937,192.83148
939,144.08133
941,82.37308
942,269.05548
946,220.4304
950,127.7672
953,98.29277
959,18.355118
961,31.718643
962,71.46141
964,61.552452
969,205.78767
971,152.06108
976,35.4038
978,211.89183
980,223.94034
981,201.83531
990,236.9549
993,25.251675
996,26.656315
998,269.84338
999,206.24164
1006,152.76422
1008,32.390846
1013,43.326546
1015,116.74434
1016,165.39067
1022,226.5109
1026,206.97041
1028,256.14294
1031,47.83048
1034,
1037,241.07407
1040,
1042,26.622326
1046,40.56983
1048,121.56099
1049,158.93047
1050,
1051,235.92526
1052,199.46712
1055,106.25136
1060,168.87152
1064,29.256279
1066,92.7521
1071,150.68896
1073,27.629513
1089,248.18553
1091,134.89221
1092,81.90741
1093,208.98857
1096,233.18427
1097,210.19354
1098,26.844349
1099,33.868866
1102,247.45982
1107,100.488396
1109,46.471977
1111,41.49271
1112,129.92941
1114,289.16663
1116,238.12299
1117,183.57748
1118,94.1406
1122,
1124,197.69186
1127,117.11253
1133,261.5387
1134,37.564888
1135,166.71088
1139,241.31058
1143,
1150,106.40175
1151,121.624176
1153,224.9645
1155,31.255909
1162,31.282803
1163,195.49324
1166,58.775776
1171,48.304737
1172,24.79121
1173,227.13005
1174,102.90784
1177,110.61915
1178,74.8718
1184,111.319984
1185,129.27776
1186,112.2942
1187,227.28703
1188,243.20692
1191,184.061
1207,116.2738
1213,31.376999
1215,169.75679
1223,245.80412
1227,133.14836
1236,
1237,
1238,52.718285
1241,29.212818
1248,27.40562
1250,41.869423
1251,221.34148
1253,109.82293
1255,127.34808
1257,263.52347
1261,121.38002
1262,263.95374
1265,192.84079
1273,225.28903
1277,218.36208
1278,141.11723
1280,104.96581
1284,159.9623
1285,249.72061
1288,61.732246
1295,123.71631
1297,292.53543
1299,232.0146
1304,210.78693
1308,37.135723
1310,122.686455
1311,149.94345
1314,97.56977
1315,132.28992
1318,61.22913
1320,254.74132
1321,226.92215
1322,221.24092
1330,175.83188
1333,201.28264
1334,203.16676
1341,220.11555
1344,155.72879
1351,216.007
1354,24.017536
1356,
1363,136.00021
1365,201.9808
1369,163.12799
1373,116.9671
1375,132.59315
1377,51.16847
1379,212.00351
1380,230.11261
1381,115.0219
1384,176.75194
1390,226.4766
1393,224.04579
1395,
1399,221.08643
1400,108.17624
1401,109.65272
1404,218.23293
1408,30.120365
1409,45.325993
1413,197.86768
