Id,SalePrice
1461,113911.41
1462,160925.77
1463,170167.03
1464,189904.05
1465,158764.34
1466,176979.14
1467,177315.25
1468,169307.3
1469,168987.0
1470,119427.28
1471,154871.02
1472,92861.52
1473,80518.016
1474,154582.06
1475,100930.625
1476,331062.2
1477,208031.81
1478,305139.78
1479,308458.94
1480,406311.12
1481,307252.12
1482,175678.86
1483,162387.73
1484,143269.92
1485,183437.53
1486,190703.11
1487,299293.88
1488,220486.72
1489,179679.53
1490,210769.25
1491,195561.03
1492,88303.68
1493,231225.08
1494,267062.44
1495,257464.77
1496,222851.98
1497,162186.92
1498,140487.08
1499,137704.53
1500,145187.36
1501,155537.53
1502,149883.88
1503,283243.06
1504,242227.86
1505,203086.55
1506,181710.64
1507,235878.5
1508,192363.33
1509,155071.5
1510,132481.3
1511,135155.69
1512,167616.92
1513,152213.94
1514,172423.4
1515,152712.52
1516,150958.83
1517,158379.27
1518,122288.266
1519,174299.06
1520,115190.44
1521,110337.96
1522,165615.95
1523,92163.2
1524,122110.44
1525,89014.06
1526,94385.36
1527,111477.25
1528,138343.27
1529,124220.55
1530,164498.05
1531,135677.3
1532,172423.4
1533,160697.89
1534,110630.766
1535,139962.4
1536,88396.77
1537,67196.125
1538,156657.9
1539,183417.2
1540,172423.4
1541,132383.86
1542,127332.76
1543,163593.78
1544,81113.36
1545,102879.3
1546,134554.19
1547,106879.75
1548,117329.266
1549,118810.59
1550,123988.21
1551,107178.125
1552,140498.83
1553,172423.4
1554,135142.05
1555,137929.02
1556,61622.6
1557,172423.4
1558,95941.89
1559,172423.4
1560,138416.8
1561,172423.4
1562,132977.61
1563,109304.42
1564,140399.47
1565,137524.44
1566,242778.73
1567,80665.25
1568,224378.05
1569,136814.33
1570,136113.69
1571,123523.2
1572,134239.55
1573,186066.64
1574,116654.72
1575,171779.98
1576,320954.6
1577,172838.7
1578,140071.73
1579,121149.33
1580,191190.47
1581,150847.05
1582,120723.445
1583,271734.47
1584,206962.05
1585,123904.86
1586,54519.188
1587,89069.67
1588,123542.5
1589,114820.7
1590,125910.61
1591,172423.4
1592,118849.93
1593,128155.086
1594,172423.4
1595,172423.4
1596,180180.8
1597,157688.92
1598,184472.25
1599,148034.25
1600,151590.17
1601,43536.96
1602,117543.6
1603,67418.586
1604,257478.38
1605,240499.34
1606,175524.75
1607,163609.25
1608,233735.81
1609,165385.5
1610,150317.83
1611,143113.92
1612,165271.19
1613,166684.38
1614,124281.86
1615,172423.4
1616,172423.4
1617,86891.805
1618,115124.37
1619,138691.02
1620,178513.52
